,mbid,Song,Artist,Album,Date,Year,Month
776,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 19:35:00,2022,8
777,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 15:39:00,2022,8
778,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 15:35:00,2022,8
779,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 15:31:00,2022,8
780,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 15:27:00,2022,8
781,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 15:23:00,2022,8
782,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 15:19:00,2022,8
783,,Summer of '69,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),2022-08-30 15:08:00,2022,8
784,,High,Lighthouse Family,Postcards From Heaven,2022-08-30 14:50:00,2022,8
785,,Dancing in the Moonlight,Toploader,Onka's Big Moka,2022-08-30 14:46:00,2022,8
786,,Come On Eileen - Single Edit,Dexys Midnight Runners,Come On Eileen / Dubious,2022-08-30 14:43:00,2022,8
787,,There She Goes,The La's,The La's,2022-08-30 14:40:00,2022,8
788,,Breakfast at Tiffany's,Deep Blue Something,Home,2022-08-30 14:36:00,2022,8
789,35c3ce8d-526c-431c-b09d-810e97567316,Higher Love - Single Version,Steve Winwood,'80s Pop #1's,2022-08-30 13:43:00,2022,8
790,,Eye of the Tiger,Survivor,Rocky IV,2022-08-30 13:39:00,2022,8
791,,Livin' on a Prayer,Bon Jovi,Slippery When Wet,2022-08-30 13:35:00,2022,8
792,,It's My Life,Bon Jovi,Crush,2022-08-30 13:31:00,2022,8
793,,Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems,2022-08-30 12:13:00,2022,8
794,,Don't Lose My Number - 2016 Remaster,Phil Collins,No Jacket Required (2016 Remaster),2022-08-29 21:31:00,2022,8
795,5b402258-ee60-3ee7-b2a6-cae89d7a3c9c,If Leaving Me Is Easy,Phil Collins,Love Songs (A Compilation Old And New),2022-08-29 21:26:00,2022,8
796,2f71f631-c8e4-40a5-8267-be5c314e23f4,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,Disney Summer Songs,2022-08-29 21:22:00,2022,8
797,,Everybody Wants to Rule the World,Tears for Fears,Songs From The Big Chair (Super Deluxe Edition),2022-08-29 13:09:00,2022,8
798,,Break My Stride,Matthew Wilder,I Don't Speak The Language,2022-08-29 13:05:00,2022,8
799,,Take On Me,a-ha,Hunting High and Low,2022-08-29 13:01:00,2022,8
800,,Where Do I Belong?,DellaXOZ,Where Do I Belong?,2022-08-29 12:48:00,2022,8
801,74bb2d78-0f3f-419d-af7e-3ee5f9deb1b9,One Year Stand,Frankie Cosmos,One Year Stand,2022-08-29 12:46:00,2022,8
802,5632679f-6851-4c01-a7c1-d0640f42b5c7,Blondie,Current Joys,Wild Heart,2022-08-29 12:42:00,2022,8
803,4ee50607-731c-44ed-bae9-4c56ce298f1d,Adelaide,Johnny Orlando,It’s Never Really Over (Expanded),2022-08-29 03:10:00,2022,8
804,,Adeline (feat. Kathleen),John-Robert,Adeline,2022-08-29 02:49:00,2022,8
805,2ea198be-bbda-4ca8-aeb0-f91fe4b311e2,Eastern Sea,Jordan Critz,Eastern Sea,2022-08-29 02:48:00,2022,8
806,2ea198be-bbda-4ca8-aeb0-f91fe4b311e2,Eastern Sea,Jordan Critz,Eastern Sea,2022-08-29 02:44:00,2022,8
807,00734a01-fe99-4610-a449-ad7e8d71d7db,Let It Be - Remastered 2015,The Beatles,1 (Remastered),2022-08-29 02:41:00,2022,8
808,,Blinding Lights,The Weeknd,Blinding Lights,2022-08-29 01:34:00,2022,8
809,03d72025-bb4c-4a44-9072-ccf14bc6ba60,Wow.,Post Malone,Hollywood's Bleeding,2022-08-29 01:32:00,2022,8
810,1273c0a7-4b00-40bc-bb9a-f113da36b3ae,Donda,Kanye West,Donda,2022-08-29 01:30:00,2022,8
811,0bf9d5e9-d7e0-4c21-91d7-fcbb1d479407,Chlorine,twenty one pilots,Trench,2022-08-29 00:44:00,2022,8
812,01c7d46d-ca16-4000-9bb6-bda2d8474af1,Stressed Out,twenty one pilots,Blurryface,2022-08-29 00:30:00,2022,8
813,01c7d46d-ca16-4000-9bb6-bda2d8474af1,Stressed Out,twenty one pilots,Blurryface,2022-08-29 00:26:00,2022,8
814,0e667c15-3e82-4051-ab15-1701428962a3,Tear in My Heart,twenty one pilots,Blurryface,2022-08-29 00:23:00,2022,8
815,15463777-fcf4-401a-baf7-cbe08ac23071,Liquorlip Loaded Gun,Sticky Fingers,Land of Pleasure,2022-08-29 00:18:00,2022,8
816,02b30f92-a7f6-455f-b3bb-23bde33c187d,Do I Wanna Know?,Arctic Monkeys,AM,2022-08-29 00:13:00,2022,8
817,04fbea82-441b-3208-a015-a270314a2602,"Call It Fate, Call It Karma",The Strokes,Comedown Machine,2022-08-29 00:10:00,2022,8
818,,Walking on a Dream,Empire of the Sun,Walking On A Dream (Special Edition),2022-08-29 00:10:00,2022,8
819,,Walking on a Dream,Empire of the Sun,Walking On A Dream (Special Edition),2022-08-29 00:07:00,2022,8
820,,French Food,Elephant Castle,French Food,2022-08-29 00:03:00,2022,8
821,263bc949-5e67-4925-acb7-fc1e6167a54e,Is It True,Tame Impala,The Slow Rush,2022-08-28 23:59:00,2022,8
822,d089531b-82e3-4921-b492-b6e00a10220b,Nude,Radiohead,In Rainbows,2022-08-28 23:55:00,2022,8
823,,Doja,Central Cee,Doja,2022-08-28 23:47:00,2022,8
824,,Doja,Central Cee,Doja,2022-08-28 23:40:00,2022,8
825,,Station 5,Field Works,Station 5,2022-08-28 00:40:00,2022,8
826,1647ac3c-9e7a-4557-9f00-95e60928e9cd,10 d E A T h b R E a s T ⚄ ⚄,Bon Iver,"22, A Million",2022-08-28 00:37:00,2022,8
827,,Close At Heart,The Lay-Backs,Close At Heart,2022-08-28 00:35:00,2022,8
828,,Fair Game,Phlieng,Fair Game,2022-08-28 00:31:00,2022,8
829,,Departure,Soothe My Soul,Departure,2022-08-28 00:28:00,2022,8
830,,Sailing,Rod Stewart,Atlantic Crossing,2022-08-27 16:13:00,2022,8
831,02b36815-0dae-4923-9623-5e84ec907b12,Hymn for the Weekend - Seeb Remix,Coldplay,Hymn for the Weekend (Seeb Remix),2022-08-27 15:51:00,2022,8
832,,Paradise,Coldplay,Mylo Xyloto,2022-08-27 15:47:00,2022,8
833,012d3bc2-c975-32ac-bb49-9e9f72db00c5,Charlie Brown,Coldplay,Mylo Xyloto,2022-08-27 15:42:00,2022,8
834,03f45499-645c-446b-bf48-b6de7a31144d,Dancing In The Moonlight,King Harvest,Dancing in the Moonlight,2022-08-27 02:35:00,2022,8
835,2f298639-216f-4b35-92a8-e9f7a6eb43c8,Don't Go Breaking My Heart,Elton John,Rock Of The Westies,2022-08-27 02:17:00,2022,8
