,mbid,Song,Artist,Album,Date,Year,Month,User
16749,6f743acc-8e7d-405d-9f8c-7d8c3b47be8b,Witches,Good Kid,Witches,2021-11-12 18:47:00,2021,11,wuhuspringfield
16750,,GOODMORNING!,ladiesmile,GOODMORNING!,2021-11-12 18:44:00,2021,11,wuhuspringfield
16751,696f6fdd-370f-4aae-97cf-620cd19bb551,You,Bryce Bishop,You,2021-11-12 18:42:00,2021,11,wuhuspringfield
16752,,PIGEONS,yxngxr1,Digikid 2,2021-11-12 18:40:00,2021,11,wuhuspringfield
16753,,re:birth,50landing,re:birth,2021-11-12 18:36:00,2021,11,wuhuspringfield
16754,,solitary,Guardin,solitary,2021-11-12 18:33:00,2021,11,wuhuspringfield
16755,20da1ea7-ba82-4017-b865-a091fdb3a0a5,Morbid Mind,Jack Kays,MIXED EMOTIONS,2021-11-12 18:30:00,2021,11,wuhuspringfield
16756,,FALLING,Monto,FALLING,2021-11-12 18:28:00,2021,11,wuhuspringfield
16757,,Como,Bryce Bishop,Como,2021-11-12 18:26:00,2021,11,wuhuspringfield
16758,,Winter,Bryce Bishop,Winter,2021-11-12 18:23:00,2021,11,wuhuspringfield
16759,,Winter,Bryce Bishop,Winter,2021-11-12 18:22:00,2021,11,wuhuspringfield
16760,,FALLING,Monto,FALLING,2021-11-12 18:19:00,2021,11,wuhuspringfield
16761,,Como,Bryce Bishop,Como,2021-11-12 18:18:00,2021,11,wuhuspringfield
16762,,Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,2021-11-12 18:08:00,2021,11,wuhuspringfield
16763,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-12 15:28:00,2021,11,wuhuspringfield
16764,,Dawn - ford. Remix,OTR,Dawn (ford. Remix),2021-11-12 14:47:00,2021,11,wuhuspringfield
16765,d28c956a-7516-4fee-bb15-c4eade2c012b,Golden Hour,Attom,Golden Hour,2021-11-12 14:44:00,2021,11,wuhuspringfield
16766,bb8e2a9f-de06-453b-93fa-340904e7cc60,Silver Linings,Catching Flies,Silver Linings,2021-11-12 14:39:00,2021,11,wuhuspringfield
16767,3beb8df0-a6cc-409f-bb64-87f5c7b64eda,Light That Shines Through,Emmit Fenn,Far From Here,2021-11-12 14:36:00,2021,11,wuhuspringfield
16768,0cdf1143-3e21-4d3f-ac7a-ee325bce7f39,Priest,group project,Priest,2021-11-12 13:00:00,2021,11,wuhuspringfield
