,mbid,Song,Artist,Album,Date,Year,Month
1429,522b2b7d-fb6d-47e9-9617-67afd0531757,All of the Lights,Kanye West,My Beautiful Dark Twisted Fantasy,2022-08-12 15:09:00,2022,8
1430,22b1b138-3906-324b-ac2e-6018fe2eb00d,A.D.H.D,Kendrick Lamar,Section.80,2022-08-12 15:06:00,2022,8
1431,5fd29a75-c324-41dd-9ddb-6d808db2f6e5,Jesus Walks,Kanye West,The College Dropout,2022-08-12 15:03:00,2022,8
1432,,Hate Bein' Sober,Chief Keef,Finally Rich,2022-08-12 14:58:00,2022,8
1433,,Ok Ok Pt 2,Kanye West,Donda,2022-08-12 14:55:00,2022,8
1434,,All I Want Is You (feat. J. Cole),Miguel,All I Want Is You,2022-08-12 14:50:00,2022,8
1435,0a44e6da-bef0-4276-a295-24a9fc8a4ec3,God Breathed,Kanye West,Donda,2022-08-12 14:44:00,2022,8
1436,,I Love It (& Lil Pump),Kanye West,I Love It,2022-08-12 14:33:00,2022,8
1437,021b6809-677f-44ad-9e8b-f07a03c5ad30,The New Workout Plan,Kanye West,The College Dropout,2022-08-12 14:27:00,2022,8
1438,,Feels Like Flying,Elementaries,Feels Like Flying,2022-08-12 14:25:00,2022,8
1439,,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,Broccoli (feat. Lil Yachty),2022-08-12 14:21:00,2022,8
1440,,"Aufsteh'n, aufeinander zugeh'n",Peter Huber,Oh! Schöner Tag - Die 40 besten Kirchenlieder,2022-08-12 14:17:00,2022,8
1441,,El Perdón (with Enrique Iglesias),Nicky Jam,Fénix,2022-08-12 14:04:00,2022,8
1442,,Si Me Tomo Una Cerveza,Migrantes,Si Me Tomo Una Cerveza,2022-08-12 14:01:00,2022,8
1443,,Ai se eu te pego,Michel Teló,Só Sucesso 40+,2022-08-12 13:53:00,2022,8
1444,,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,Nothing but the Beat 2.0,2022-08-12 13:50:00,2022,8
1445,,Where The Streets Have No Name,SJ Hoffman,Where The Streets Have No Name,2022-08-12 13:43:00,2022,8
1446,,BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,2022-08-12 13:40:00,2022,8
1447,09db906b-50c0-3d5b-ad6f-2aee22ded3ed,Guten Morgen Sonnenschein,Nana Mouskouri,Ich Hab Gelacht Ich Hab Geweint,2022-08-12 13:34:00,2022,8
1448,,What a Time (feat. Niall Horan),Julia Michaels,Inner Monologue Part 1,2022-08-12 00:01:00,2022,8
1449,,Doin’ Me,mikey mike,Mikey Mike’s Life on Earth: Vol. 1,2022-08-11 23:58:00,2022,8
1450,,Pyramid Song,Radiohead,Amnesiac,2022-08-11 23:53:00,2022,8
1451,753b8762-2f20-495d-9571-bc1be26a978c,Eternal Summer,The Strokes,The New Abnormal,2022-08-11 23:49:00,2022,8
1452,,GO (feat. Juice WRLD),The Kid LAROI,GO (feat. Juice WRLD),2022-08-11 23:44:00,2022,8
1453,0b2f1e3f-c0be-48a1-b59a-163e8883d6f0,Go Flex,Post Malone,Stoney (Deluxe),2022-08-11 23:41:00,2022,8
1454,,Who Wants to Live Forever,Queen,Bohemian Rhapsody (The Original Soundtrack),2022-08-11 23:35:00,2022,8
1455,,Don't Stop Believin',Journey,The Essential Journey,2022-08-11 23:31:00,2022,8
1456,cbc5ecb8-a95a-4268-803b-ca7d06f9af13,Mr Bojangles,Robbie Williams,Swing When You're Winning,2022-08-11 23:31:00,2022,8
1457,cbc5ecb8-a95a-4268-803b-ca7d06f9af13,Mr Bojangles,Robbie Williams,Swing When You're Winning,2022-08-11 23:28:00,2022,8
1458,,Feel,Robbie Williams,Escapology,2022-08-11 23:23:00,2022,8
1459,26804cad-63b0-38ce-adf4-b46f0908fa9e,My Oh My,Macklemore & Ryan Lewis,The Heist (Deluxe Edition),2022-08-11 21:42:00,2022,8
1460,08a05958-8181-42d8-b4a9-3fc5c1f1e89f,Stay,Post Malone,beerbongs & bentleys,2022-08-11 21:38:00,2022,8
1461,0a499a91-7b63-4f99-8089-d4a146f98e7f,Too Young,Post Malone,Stoney (Deluxe),2022-08-11 21:36:00,2022,8
1462,798c1eba-1e97-437c-b0c6-7189444bc466,Crazy In Love,Emeli Sandé,Music from Baz Luhrmann's Film The Great Gatsby,2022-08-11 19:52:00,2022,8
1463,,Empire State of Mind (Part II) Broken Down,The Bryan Ferry Orchestra,The Great Gatsby: The Jazz Recordings (A Selection of Yellow Cocktail Music from Baz Luhrmann's Film the Great Gatsby),2022-08-11 19:47:00,2022,8
1464,1a8c09a0-5e98-41c6-82b6-dec5ff289169,Young & Beautiful,The Bryan Ferry Orchestra,The Great Gatsby: The Jazz Recordings (A Selection of Yellow Cocktail Music from Baz Luhrmann's Film the Great Gatsby),2022-08-11 19:44:00,2022,8
1465,a43679ed-d4f4-4efe-9034-a14bf9c42dd3,Gone,Blake Rose,Gone,2022-08-11 19:37:00,2022,8
