,mbid,Song,Artist,Album,Date,Year,Month
858,52275516-abfa-4f28-9e1e-4db84b2e5498,New Mode,Kid Cudi,Entergalactic,2022-10-02 20:37:00,2022,10
859,ff09fb38-c3e9-4468-81db-6facb491ea6e,Entergalactic Theme,Kid Cudi,Entergalactic,2022-10-02 20:36:00,2022,10
860,023dd89c-2bc4-4fb5-8fff-636869318b24,Soul Food,Logic,Under Pressure (Deluxe),2022-10-02 14:14:00,2022,10
861,a1b9c584-15db-4c3e-afc7-b8957a8d71e8,Nowhere Man,Bryce Vine,Night Circus,2022-10-02 14:01:00,2022,10
862,7e19a657-fb8c-4701-9090-d0b171cf6bf6,King of Everything,Dominic Fike,"Don't Forget About Me, Demos",2022-10-02 13:58:00,2022,10
863,94da83d6-5f2a-426a-a5f9-40c56f0d3a78,Ignite the Love,Kid Cudi,Entergalactic,2022-10-02 13:54:00,2022,10
864,ea370d3d-83d1-4b59-9039-94f4f5a0a149,Angel,Kid Cudi,Entergalactic,2022-10-02 13:51:00,2022,10
865,48406f3f-3b6c-4b01-a686-4c96188d225c,Do What I Want,Kid Cudi,Entergalactic,2022-10-02 13:49:00,2022,10
866,52275516-abfa-4f28-9e1e-4db84b2e5498,New Mode,Kid Cudi,Entergalactic,2022-10-02 13:45:00,2022,10
867,ff09fb38-c3e9-4468-81db-6facb491ea6e,Entergalactic Theme,Kid Cudi,Entergalactic,2022-10-02 13:43:00,2022,10
868,,Victoria’s Secret,Jax,Victoria’s Secret,2022-10-02 13:41:00,2022,10
869,,Happiness,Alexis Jordan,Alexis Jordan,2022-10-02 13:36:00,2022,10
870,,I Still Need You (Disco Lines Remix),AyokAy,I Still Need You (Disco Lines Remix),2022-10-02 13:14:00,2022,10
871,,Solmization - 528Hz,Jonathan Dorjee,Solmization - 528Hz,2022-10-02 12:18:00,2022,10
872,,Taking Time,Cristoforo Giordano,Taking Time,2022-10-02 04:25:00,2022,10
873,,Muladhara,Zen Meditation Garden,Chakra Spiritual Solfeggios,2022-10-02 04:17:00,2022,10
874,,Tundra,Yeur,Tundra,2022-10-02 04:15:00,2022,10
875,,Cuidada,Lucinda Pasillas,Cuidada,2022-10-02 04:12:00,2022,10
876,,Protection,Arush Mandal,Pilgrimage,2022-10-02 04:10:00,2022,10
877,,Relaksohuni,Qetesia,Relaksohuni,2022-10-02 04:07:00,2022,10
878,,Going Back,Koby Laver,Going Back,2022-10-02 04:03:00,2022,10
879,,Hush,Yonatan Awate,Hush,2022-10-02 04:00:00,2022,10
880,,Illustratosphere,Anna Nueva,Illustratosphere,2022-10-02 03:57:00,2022,10
881,,Wanderstar,Amel Scott,Aphelion,2022-10-02 03:54:00,2022,10
882,,Hesperus,Rosa Løvstrøm,Hesperus,2022-10-02 03:51:00,2022,10
883,,I et andet liv,Minik Knudsen,I et andet liv,2022-10-02 03:48:00,2022,10
884,,Herinneringen,Sohn Aelia,Herinneringen,2022-10-02 03:46:00,2022,10
885,,Aurora,Stephanie Hawk,Aurora,2022-10-02 03:42:00,2022,10
886,,Quiet Times,Dan Maus,Quiet Times,2022-10-02 03:40:00,2022,10
887,,Wanderlust,Gavn!,Wanderlust,2022-10-02 02:43:00,2022,10
888,095dde4c-31ab-4b1a-afd6-285995d8a62b,666 ʇ,Bon Iver,"22, A Million",2022-10-02 01:06:00,2022,10
889,1b8fceb1-41ce-4bdf-8078-5f683833dd6c,22 (OVER S∞∞N),Bon Iver,"22, A Million",2022-10-02 01:04:00,2022,10
890,876d409c-7abb-4d7b-9fdf-200c1d114173,715 - CR∑∑KS,Bon Iver,"22, A Million",2022-10-02 01:01:00,2022,10
891,0dada4c3-2c28-4c0d-a158-54b89e3739c9,Schau mich nicht so an,Lotte,Glück,2022-10-01 23:49:00,2022,10
892,7f2a9982-18c1-482f-b1d3-8bedaceb2f13,Are you happy?,SHY Martin,Sad Songs,2022-10-01 23:46:00,2022,10
893,0802b190-e24b-48f4-9536-189f8b4533da,Outro,M83,"Hurry Up, We're Dreaming",2022-10-01 23:40:00,2022,10
894,05fb4eca-b785-34d0-94e0-1578701190ca,Midnight City,M83,"Hurry Up, We're Dreaming",2022-10-01 23:36:00,2022,10
895,b27ae7ed-6a27-4dd0-876c-5f501c880e6f,Dreamland,Glass Animals,Dreamland (+ Bonus Levels),2022-10-01 23:32:00,2022,10
896,134693ab-b197-43d4-8885-8ccae8dc8305,Strangers,Mt. Joy,Rearrange Us,2022-10-01 23:29:00,2022,10
897,20e218e3-ead9-424e-8132-a0a6cabe1f14,Lydia (Please Make It Better),Fred again..,Actual Life (April 14 - December 17 2020),2022-10-01 23:25:00,2022,10
898,,"How Far I'll Go - From ""Vaiana""",Alessia Cara,"How Far I\'ll Go (From ""Vaiana"")",2022-10-01 21:55:00,2022,10
899,,Scars to Your Beautiful,Alessia Cara,Know-It-All,2022-10-01 21:51:00,2022,10
900,,Mr. Brightside,The Killers,Hot Fuss,2022-10-01 21:47:00,2022,10
901,,Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,The Heist,2022-10-01 21:42:00,2022,10
902,a1b9c584-15db-4c3e-afc7-b8957a8d71e8,Nowhere Man,Bryce Vine,Night Circus,2022-10-01 21:39:00,2022,10
903,7e19a657-fb8c-4701-9090-d0b171cf6bf6,King of Everything,Dominic Fike,"Don't Forget About Me, Demos",2022-10-01 21:35:00,2022,10
904,,Wouldn't Change a Thing,Demi Lovato,Camp Rock 2: The Final Jam,2022-10-01 21:32:00,2022,10
905,,Teenage Dirtbag,Wheatus,"Songs from Dawson's Creek, Vol. II",2022-10-01 21:28:00,2022,10
906,0802b190-e24b-48f4-9536-189f8b4533da,Outro,M83,"Hurry Up, We're Dreaming",2022-10-01 21:24:00,2022,10
